id,tw_member?,fb_member?,tw_follower?,fb_follower?
bendemaree,False,False,True,False
liu-junyong,False,False,False,True
zackperdue,False,False,False,True
jamesrobertson000071,False,False,True,False
sambernard,False,False,False,True
inchemay,False,False,False,True
chengt90,False,False,False,True
jiangleicode,False,False,True,False
ashrafulhaque,False,False,True,False
xm052359,False,False,True,False
oa414,False,False,False,True
NeptunSun,False,False,True,False
DukeHuang,False,False,True,True
karlguillotte,False,False,False,True
aweis,False,False,False,True
RaghavRamesh,False,False,False,True
RobbieClarken,False,False,False,True
Yukibashiri,False,False,True,False
longsail,False,False,False,True
pish181,False,False,True,False
XiongFeiTan,False,False,True,False
pmcalmeida,False,False,True,True
Guria,False,False,False,True
rictorres,False,False,True,True
jeffscottward,False,False,False,True
ITJoePC,False,False,True,False
liujunqi,False,False,False,True
abhishek-sen,False,False,False,True
shiroholloway,False,False,False,True
KittenYang,False,False,False,True
soulofpeace,False,False,True,False
oscarcs,False,False,False,True
bugknightyyp,False,False,False,True
peixl,False,False,False,True
zeke,False,False,True,True
cshoe,False,False,False,True
webframp,False,False,False,True
cosmophile,False,False,False,True
Andersos,False,False,True,True
matiasinsaurralde,False,False,True,True
fractal,False,False,True,False
amitsingh8217,False,False,False,True
wozaiwogu,False,False,False,True
drom,False,False,False,True
wqxie,False,False,True,False
varunagg45,False,False,False,True
wdg,False,False,False,True
bloqhead,False,False,True,False
wangsha,False,False,False,True
pibby,False,False,True,False
wangjinyu501,False,False,False,True
manue1,False,False,True,True
Kaushalsengupta,False,False,True,False
mamcode,False,False,True,False
xycd,False,False,False,True
abdullahwwe,False,False,False,True
saravntbe,False,False,True,True
lankeren,False,False,False,True
nhubbard,False,False,False,True
thebailers,False,False,False,True
seberm,False,False,False,True
lancetw,False,False,True,True
jakubkulhan,False,False,False,True
yeqinglee,False,False,False,True
linkerlin,False,False,False,True
g13n,False,False,True,True
imranansari,False,False,True,False
taberh,False,False,True,False
damiencornu,False,False,True,False
mjlescano,False,False,True,False
v42,False,False,True,False
elynnlee,False,False,False,True
username1001,False,False,True,False
sergiou87,False,False,False,True
BenBtg,False,False,False,True
thamerbelfkihthamer,False,False,True,False
eberhara,False,False,False,True
isacliaen7,False,False,True,False
tiimgreen,False,False,True,False
CoderAFI,False,False,True,True
exexzian,False,False,True,False
thenewvu,False,False,False,True
josephfusco,False,False,True,True
tdogg137,False,False,True,False
emretekince,False,False,False,True
billyastilla,False,False,True,False
gorbiz,False,False,True,False
Pinkerton,False,False,False,True
gustavjorlov,False,False,False,True
huazone,False,False,True,False
ublar,False,False,True,False
znation,False,False,False,True
charygao,False,False,True,False
brandonmerritt,False,False,True,False
yiplee,False,False,False,True
davisarchibald,False,False,True,False
moronkreacionz,False,False,False,True
codelitt,False,False,False,True
marcdong,False,False,False,True
quangz1031,False,False,True,False
jigyasu10,False,False,False,True
Jefdef,False,False,True,False
yuriihabrusiev,False,False,True,False
btflynn,False,False,True,False
vjpr,False,False,True,True
ksonbol,False,False,False,True
wallynm,False,False,False,True
syrenio,False,False,False,True
bwestlin,False,False,False,True
jinxianxian,False,False,False,True
pfDave,False,False,True,False
adabutch,False,False,True,False
lee101,False,False,False,True
kkga,False,False,True,True
arronmabrey,False,False,False,True
myusuf3,False,False,False,True
pgreze,False,False,False,True
Tomer1510,False,False,False,True
staraple,False,False,True,True
jijoy,False,False,True,False
milapdave,False,False,True,False
chrisbuttery,False,False,True,False
hallop,False,False,True,False
ZhengXiaoMing,False,False,False,True
omerbalyali,False,False,True,False
zachatrocity,False,False,False,True
hirokihori,False,False,False,True
renatoruk,False,False,False,True
pygospa,False,False,True,False
HiroIshikawa,False,False,False,True
PKramchaninov,False,False,False,True
sumehta,False,False,False,True
davidnorth,False,False,False,True
iSeada,False,False,True,False
DDunc,False,False,False,True
haroldevans,False,False,True,True
leafxm,False,False,True,False
OtaK,False,False,False,True
ChangTian1992,False,False,True,False
RicardoSabinolrs,False,False,True,False
lynetteChen,False,False,True,False
maulik1990,False,False,False,True
LiShutong,False,False,False,True
giseray,False,False,True,False
LabLayers,False,False,True,True
cleverUtd,False,False,True,False
Jamonek,False,False,True,True
rodericj,False,False,False,True
hacker-intelligence,False,False,True,False
scottdejonge,False,False,True,False
superboum,False,False,False,True
pid,False,False,True,True
jonrh,False,False,False,True
manderson-productions,False,False,False,True
AlvaroFranco,False,False,False,True
huntzhan,False,False,False,True
Symro,False,False,True,False
zhouzhigang,False,False,True,True
chenruibin,False,False,True,True
schmchel1,False,False,False,True
eye008,False,False,False,True
jeffreylin,False,True,False,True
xuebu,False,False,True,False
lafryhi,False,False,True,False
Czechh,False,False,False,True
rarous,False,False,False,True
chrisamaphone,False,False,False,True
FabriceGeib,False,False,True,False
shroy,False,False,True,False
DustinH,False,False,True,True
calvintennant,False,False,True,False
lolorama,False,False,False,True
mhasan3,False,False,False,True
nicole,False,False,True,False
bluepowder,False,False,True,False
willqian,False,False,False,True
gonafr,False,False,True,False
py110,False,False,False,True
uslacker99,False,False,True,False
ItzikMalkiel,False,False,False,True
ingscjoshua,False,False,False,True
paulhhowells,False,False,False,True
fntlnz,False,False,False,True
nnennajohn,False,False,True,False
gizemiskender,False,False,False,True
zhanggang,False,False,True,False
livienyin,False,False,True,False
kArTeL,False,False,True,False
rtbustamantec,False,False,True,True
traboukos,False,False,False,True
mvpspl619,False,False,False,True
drulang,False,False,False,True
radioboo,False,False,False,True
